,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
15,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(2), -1)","(array([2, 1]), np.int64(3), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(2), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(2), -100)",,,,,
16,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(2), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(2), -1)","(array([1, 4]), np.int64(3), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(1), -1)","(array([1, 4]), np.int64(2), -1)","(array([2, 4]), np.int64(2), -100)",,,,
17,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(0), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(3), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,
18,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(3), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(2), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(3), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(0), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(0), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(3), -1)","(array([0, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(2), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(3), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(2), -1)","(array([1, 3]), np.int64(1), -1)","(array([1, 4]), np.int64(2), -1)"
19,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,
20,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,,
24,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(3), -1)","(array([1, 1]), np.int64(2), -1)","(array([2, 1]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,
25,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(3), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,
27,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,
28,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(3), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(2), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(3), -1)","(array([0, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(2), -1)","(array([1, 5]), np.int64(0), -1)","(array([0, 5]), np.int64(2), -1)","(array([1, 5]), np.int64(1), -1)","(array([1, 6]), np.int64(0), -1)","(array([0, 6]), np.int64(1), -1)","(array([0, 7]), np.int64(1), -1)","(array([0, 8]), np.int64(0), -1)","(array([0, 8]), np.int64(1), -1)","(array([0, 9]), np.int64(0), -1)"
32,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(2), -1)","(array([2, 1]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,
34,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(3), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(2), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(2), -100)",,,,,,,,,,,,,,,,
35,"(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(1), -1)","(array([2, 4]), np.int64(1), -1)","(array([2, 5]), np.int64(0), -1)","(array([1, 5]), np.int64(1), -1)","(array([1, 6]), np.int64(1), -1)","(array([1, 7]), np.int64(3), -1)","(array([1, 6]), np.int64(0), -1)","(array([0, 6]), np.int64(2), -1)","(array([1, 6]), np.int64(0), -1)","(array([0, 6]), np.int64(1), -1)","(array([0, 7]), np.int64(1), -1)","(array([0, 8]), np.int64(1), -1)","(array([0, 9]), np.int64(0), -1)","(array([0, 9]), np.int64(0), -1)","(array([0, 9]), np.int64(3), -1)","(array([0, 8]), np.int64(1), -1)","(array([0, 9]), np.int64(2), -1)","(array([1, 9]), np.int64(3), -1)","(array([1, 8]), np.int64(2), -1)","(array([2, 8]), np.int64(0), -1)","(array([1, 8]), np.int64(2), -1)","(array([2, 8]), np.int64(0), -1)","(array([1, 8]), np.int64(3), -1)","(array([1, 7]), np.int64(1), -1)"
37,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(0), -1)","(array([0, 5]), np.int64(1), -1)","(array([0, 6]), np.int64(3), -1)","(array([0, 5]), np.int64(2), -1)","(array([1, 5]), np.int64(3), -1)","(array([1, 4]), np.int64(3), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(1), -1)","(array([2, 4]), np.int64(0), -1)","(array([1, 4]), np.int64(1), -1)","(array([1, 5]), np.int64(1), -1)","(array([1, 6]), np.int64(1), -1)","(array([1, 7]), np.int64(2), -1)","(array([2, 7]), np.int64(0), -1)","(array([1, 7]), np.int64(0), -1)","(array([0, 7]), np.int64(3), -1)","(array([0, 6]), np.int64(0), -1)"
38,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,
39,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(2), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,
40,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,
41,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(3), -1)","(array([0, 0]), np.int64(3), -1)","(array([0, 0]), np.int64(3), -1)","(array([0, 0]), np.int64(2), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(2), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(2), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(1), -1)","(array([2, 4]), np.int64(3), -1)","(array([2, 3]), np.int64(1), -1)","(array([2, 4]), np.int64(1), -1)","(array([2, 5]), np.int64(2), -100)",,,
42,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,,
44,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(3), -1)","(array([2, 2]), np.int64(0), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(3), -1)","(array([0, 3]), np.int64(3), -1)","(array([0, 2]), np.int64(0), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(3), -1)","(array([0, 0]), np.int64(3), -1)","(array([0, 0]), np.int64(1), -1)","(array([0, 1]), np.int64(3), -1)","(array([0, 0]), np.int64(2), -1)","(array([1, 0]), np.int64(3), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(2), -1)","(array([1, 0]), np.int64(0), -1)","(array([0, 0]), np.int64(0), -1)"
46,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,
47,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,
48,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(3), -1)","(array([1, 0]), np.int64(3), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(2), -1)","(array([2, 3]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,
49,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(3), -1)","(array([2, 1]), np.int64(0), -1)","(array([1, 1]), np.int64(0), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(1), -1)","(array([0, 3]), np.int64(1), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(1), -1)","(array([0, 6]), np.int64(3), -1)","(array([0, 5]), np.int64(2), -1)","(array([1, 5]), np.int64(3), -1)","(array([1, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(1), -1)","(array([0, 6]), np.int64(3), -1)","(array([0, 5]), np.int64(0), -1)","(array([0, 5]), np.int64(3), -1)","(array([0, 4]), np.int64(3), -1)","(array([0, 3]), np.int64(0), -1)","(array([0, 3]), np.int64(3), -1)","(array([0, 2]), np.int64(3), -1)","(array([0, 1]), np.int64(1), -1)","(array([0, 2]), np.int64(2), -1)","(array([1, 2]), np.int64(3), -1)"
50,"(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(0), -1)","(array([1, 0]), np.int64(1), -1)","(array([1, 1]), np.int64(1), -1)","(array([1, 2]), np.int64(2), -1)","(array([2, 2]), np.int64(1), -1)","(array([2, 3]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,
51,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(2), -100)",,,,,,,,,,,,,,,,,,,,,,,,,
52,"(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(3), -1)","(array([2, 0]), np.int64(1), -1)","(array([2, 1]), np.int64(1), -1)","(array([2, 2]), np.int64(0), -1)","(array([1, 2]), np.int64(1), -1)","(array([1, 3]), np.int64(1), -1)","(array([1, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(2), -1)","(array([1, 4]), np.int64(2), -1)","(array([2, 4]), np.int64(1), -1)","(array([2, 5]), np.int64(1), -1)","(array([2, 6]), np.int64(3), -1)","(array([2, 5]), np.int64(3), -1)","(array([2, 4]), np.int64(1), -1)","(array([2, 5]), np.int64(3), -1)","(array([2, 4]), np.int64(0), -1)","(array([1, 4]), np.int64(1), -1)","(array([1, 5]), np.int64(3), -1)","(array([1, 4]), np.int64(0), -1)","(array([0, 4]), np.int64(1), -1)","(array([0, 5]), np.int64(2), -1)","(array([1, 5]), np.int64(2), -1)","(array([2, 5]), np.int64(3), -1)","(array([2, 4]), np.int64(2), -100)",,,,
53,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(0), -1)","(array([2, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(3), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,
54,"(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(2), -1)","(array([3, 0]), np.int64(1), -100)",,,,,,,,,,,,,,,,,,,,,,,,,,
